,REGISTRY,country_long,country_region,star,country_name,is_national,is_national_exists,is_subset
190,384007899,"                                                 USA, South Dakota (2008-2012)","USA, South Dakota",False,USA,0,0,1
191,384007999,"                                                    USA, Tennessee (2008-2012)","USA, Tennessee",False,USA,0,0,1
192,384007910,"                                             USA, Tennessee: White (2008-2012)","USA, Tennessee: White",False,USA,0,0,1
193,384007930,"                                             USA, Tennessee: Black (2008-2012)","USA, Tennessee: Black",False,USA,0,0,1
194,384007199,"                                                        USA, Texas (2008-2012)","USA, Texas",False,USA,0,0,1
195,384007110,"                                                 USA, Texas: White (2008-2012)","USA, Texas: White",False,USA,0,0,1
196,384007130,"                                                 USA, Texas: Black (2008-2012)","USA, Texas: Black",False,USA,0,0,1
197,384001299,"                                                         USA, Utah (2008-2012)","USA, Utah",False,USA,0,0,1
198,384007299,"                                                      USA, Vermont (2008-2012)","USA, Vermont",False,USA,0,0,1
199,384007799,"                                                     USA, Virginia (2008-2012)","USA, Virginia",False,USA,0,0,1
200,384007710,"                                              USA, Virginia: White (2008-2012)","USA, Virginia: White",False,USA,0,0,1
201,384007730,"                                              USA, Virginia: Black (2008-2012)","USA, Virginia: Black",False,USA,0,0,1
202,384007399,"                                             USA, Washington State (2008-2012)","USA, Washington State",False,USA,0,0,1
203,384001399,"                                          USA, Washington, Seattle (2008-2012)","USA, Washington, Seattle",False,USA,0,0,1
204,384007499,"                                                USA, West Virginia (2008-2012)","USA, West Virginia",False,USA,0,0,1
205,384007599,"                                                    USA, Wisconsin (2008-2012)","USA, Wisconsin",False,USA,0,0,1
206,384007510,"                                             USA, Wisconsin: White (2008-2012)","USA, Wisconsin: White",False,USA,0,0,1
207,384007530,"                                             USA, Wisconsin: Black (2008-2012)","USA, Wisconsin: Black",False,USA,0,0,1
208,384007699,"                                                      USA, Wyoming (2008-2012)","USA, Wyoming",False,USA,0,0,1
209,684009999,"                                                       USA, Hawaii (2008-2012)","USA, Hawaii",False,USA,0,0,1
210,684009910,"                                               *USA, Hawaii: White (2008-2012)","USA, Hawaii: White",True,USA,0,0,1
211,684009921,"                                            *USA, Hawaii: Japanese (2008-2012)","USA, Hawaii: Japanese",True,USA,0,0,1
212,684009920,"                                             *USA, Hawaii: Chinese (2008-2012)","USA, Hawaii: Chinese",True,USA,0,0,1
213,684009945,"                                            *USA, Hawaii: Hawaiian (2008-2012)","USA, Hawaii: Hawaiian",True,USA,0,0,1
214,684009923,"                                            *USA, Hawaii: Filipino (2008-2012)","USA, Hawaii: Filipino",True,USA,0,0,1
215,684009899,"                                             *USA, Pacific Islands (2008-2012)","USA, Pacific Islands",True,USA,0,0,1
216,285800099,                                                           Uruguay (2008-2012),Uruguay,False,Uruguay,1,1,0
217,312400199,"                                                  *Canada, Alberta (2008-2012)","Canada, Alberta",True,Canada,0,0,1
218,312400299,"                                          Canada, British Columbia (2008-2012)","Canada, British Columbia",False,Canada,0,0,1
219,312400399,"                                                  Canada, Manitoba (2008-2012)","Canada, Manitoba",False,Canada,0,0,1
220,312400599,"                                            *Canada, New Brunswick (2008-2012)","Canada, New Brunswick",True,Canada,0,0,1
221,312400899,"                                *Canada, Newfoundland and Labrador (2008-2012)   ","Canada, Newfoundland and Labrador",True,Canada,0,0,1
222,312400499,"                                    *Canada, Northwest Territories (2008-2012)","Canada, Northwest Territories",True,Canada,0,0,1
223,312400699,"                                              *Canada, Nova Scotia (2008-2012)","Canada, Nova Scotia",True,Canada,0,0,1
224,312401399,"                                                  *Canada, Nunavut (2008-2012)","Canada, Nunavut",True,Canada,0,0,1
225,312401099,"                                                  *Canada, Ontario (2008-2012)","Canada, Ontario",True,Canada,0,0,1
226,312400799,"                                     *Canada, Prince Edward Island (2008-2012)","Canada, Prince Edward Island",True,Canada,0,0,1
227,312401299,"                                              Canada, Saskatchewan (2008-2012)","Canada, Saskatchewan",False,Canada,0,0,1
228,312400999,"                                                    *Canada, Yukon (2008-2012)","Canada, Yukon",True,Canada,0,0,1
229,384000099,                                                               USA (2008-2012),United States of America,False,United States of America,1,1,0
230,404800046,                                                 Bahrain: Bahraini (2008-2012),Bahrain: Bahraini,False,Bahrain,0,0,1
231,409600099,                                                 Brunei Darussalam (2010-2012),Brunei Darussalam,False,Brunei Darussalam,1,1,0
232,415601299,"                                                China, Anshan City (2008-2012)","China, Anshan City",False,China,0,0,1
233,415600199,"                                                    China, Beijing (2008-2012)","China, Beijing",False,China,0,0,1
234,415603199,"                                                      China, Benxi (2008-2011)","China, Benxi",False,China,0,0,1
235,415600699,"                                              China, Cixian County (2008-2012)","China, Cixian County",False,China,0,0,1
236,415602499,"                                                  China, Guangzhou (2010-2012)","China, Guangzhou",False,China,0,0,1
237,415605199,"                                                    China, Guanyun (2008-2012)","China, Guanyun",False,China,0,0,1
238,415602599,"                                              China, Haimen County (2008-2012)","China, Haimen County",False,China,0,0,1
239,415602199,"                                              China, Hangzhou City (2008-2012)","China, Hangzhou City",False,China,0,0,1
240,415601599,"                              China, Harbin City, Nangang District (2008-2012)","China, Harbin City, Nangang District",False,China,0,0,1
241,415605399,"                                                      China, Hefei (2010-2012)","China, Hefei",False,China,0,0,1
242,415605499,"                                                   China, Hengdong (2009-2012)","China, Hengdong",False,China,0,0,1
243,415603099,"                                                  China, Hong Kong (2008-2012)","China, Hong Kong",False,China,0,0,1
244,415605799,"                                 *China, Huaiyin District, Huai'an (2009-2012)","China, Huaiyin District, Huai'an",True,China,0,0,1
245,415606099,"                                                   China, Jiangmen (2010-2012)","China, Jiangmen",False,China,0,0,1
